ds,yhat,yhat_lower,yhat_upper,subtopic,model,target
2024-05-12,0.2394902441131859,-0.22154616010379075,0.6997472629838417,Generative AI,Prophet,sentiment_mean
2024-05-19,0.21888285187837675,-0.24587019184524642,0.6530775281538032,Generative AI,Prophet,sentiment_mean
2024-05-26,0.17282448399291334,-0.28690289891368803,0.6424481887876241,Generative AI,Prophet,sentiment_mean
2024-06-02,0.15559593111797013,-0.2920512424963115,0.6022711670961013,Generative AI,Prophet,sentiment_mean
2024-06-09,0.2014485093244052,-0.3013191524628381,0.686256331302707,Generative AI,Prophet,sentiment_mean
2024-06-16,0.28383135500542067,-0.17755338166805035,0.724027433328756,Generative AI,Prophet,sentiment_mean
2024-06-23,0.3362704119731831,-0.1669233554585291,0.7669167016669676,Generative AI,Prophet,sentiment_mean
2024-06-30,0.31762407213043403,-0.13099528589211715,0.7463649715419878,Generative AI,Prophet,sentiment_mean
2024-07-07,0.25159092800937677,-0.2160315994885371,0.6992659981383991,Generative AI,Prophet,sentiment_mean
2024-07-14,0.19873923870372806,-0.2658949827204075,0.6780603572770598,Generative AI,Prophet,sentiment_mean
2024-07-21,0.1931549519849839,-0.27269976605757584,0.6624173819602012,Generative AI,Prophet,sentiment_mean
2024-07-28,0.21233820117743862,-0.2659986524318276,0.6537725789525484,Generative AI,Prophet,sentiment_mean
2024-08-04,0.20767295154800502,-0.258472638268473,0.669545005470769,Generative AI,Prophet,sentiment_mean
2024-08-11,0.15690108467702316,-0.3019249831844886,0.6026566078750617,Generative AI,Prophet,sentiment_mean
2024-08-18,0.0837452074316782,-0.36626383157002246,0.5024224823336337,Generative AI,Prophet,sentiment_mean
2024-08-25,0.034123915085133794,-0.41682599078769356,0.5017557610747732,Generative AI,Prophet,sentiment_mean
2024-09-01,0.041582696208904035,-0.3974707740867087,0.5182735111073209,Generative AI,Prophet,sentiment_mean
2024-09-08,0.1115649614754117,-0.3627652328173965,0.5443546104970716,Generative AI,Prophet,sentiment_mean
2024-09-15,0.22267402302544081,-0.22873858214295165,0.6860243615713006,Generative AI,Prophet,sentiment_mean
2024-09-22,0.3316748067017325,-0.12607536781418338,0.7705956427467726,Generative AI,Prophet,sentiment_mean
2024-09-29,0.3857047458404357,-0.08258620971988617,0.8412263931995078,Generative AI,Prophet,sentiment_mean
2024-10-06,0.3519549762565566,-0.08427943932776734,0.7933910436272228,Generative AI,Prophet,sentiment_mean
2024-10-13,0.2501345515502268,-0.2239956602597166,0.6849751615073407,Generative AI,Prophet,sentiment_mean
2024-10-20,0.14996804888878074,-0.3200797935610915,0.6285250670770837,Generative AI,Prophet,sentiment_mean
2024-10-27,0.11957836311369024,-0.3248145851278927,0.569033297893904,Generative AI,Prophet,sentiment_mean
2024-11-03,0.16659796176974442,-0.3014656644587307,0.6144803201981891,Generative AI,Prophet,sentiment_mean
2024-11-10,0.2340255913555456,-0.24821104598792204,0.6598563617847016,Generative AI,Prophet,sentiment_mean
2024-11-17,0.2604762043477754,-0.2148028177400529,0.7204935751787688,Generative AI,Prophet,sentiment_mean
2024-11-24,0.24185161021354074,-0.23525135828899918,0.6849317479441586,Generative AI,Prophet,sentiment_mean
2024-12-01,0.22585658508556022,-0.252970370215739,0.6735167209511744,Generative AI,Prophet,sentiment_mean
2024-12-08,0.2463471621648448,-0.2003234015903564,0.6913897675437488,Generative AI,Prophet,sentiment_mean
2024-12-15,0.27598417497742966,-0.16337910705407696,0.7425322850602694,Generative AI,Prophet,sentiment_mean
2024-12-22,0.2561494018359951,-0.20456387297835213,0.7021536156057903,Generative AI,Prophet,sentiment_mean
2024-12-29,0.171520330026813,-0.28869740061791993,0.6573656619594446,Generative AI,Prophet,sentiment_mean
2025-01-05,0.08064901744699761,-0.39047087521287943,0.5832301021447691,Generative AI,Prophet,sentiment_mean
2025-01-12,0.06209767040262444,-0.40361124930400083,0.4856035379453328,Generative AI,Prophet,sentiment_mean
2025-01-19,0.133434673538943,-0.33239429624702416,0.5647210920877851,Generative AI,Prophet,sentiment_mean
2025-01-26,0.2328519541211709,-0.1827084923935158,0.6833343777830421,Generative AI,Prophet,sentiment_mean
2025-02-02,0.2822839673168275,-0.19611115837128412,0.7297872397862545,Generative AI,Prophet,sentiment_mean
2025-02-09,0.2604360730261376,-0.17148311767725774,0.7068026655222245,Generative AI,Prophet,sentiment_mean
2025-02-16,0.20855210597531776,-0.25489274406909346,0.6423107780647669,Generative AI,Prophet,sentiment_mean
2025-02-23,0.17267078088719703,-0.27776701240378915,0.6258066525430221,Generative AI,Prophet,sentiment_mean
2025-03-02,0.15490424771984335,-0.3179161099821988,0.6015540801829499,Generative AI,Prophet,sentiment_mean
2025-03-09,0.12551203621064447,-0.32615272807829954,0.5858946211623467,Generative AI,Prophet,sentiment_mean
2025-03-16,0.07061582130987769,-0.4142047954701534,0.5119556754998328,Generative AI,Prophet,sentiment_mean
2025-03-23,0.013239482127720553,-0.4526758728117434,0.49823950211490675,Generative AI,Prophet,sentiment_mean
2025-03-30,-0.013229944489762835,-0.46426080077805004,0.48704332148832896,Generative AI,Prophet,sentiment_mean
2025-04-06,0.00023294328855757995,-0.48223909883954985,0.44811458927788,Generative AI,Prophet,sentiment_mean
2025-04-13,0.037946887804547136,-0.42368229007441294,0.5365268578955593,Generative AI,Prophet,sentiment_mean
2025-04-20,0.08551208333791258,-0.34846659190277596,0.5794594023045664,Generative AI,Prophet,sentiment_mean
